b9aboo	Plusieurs rapports semblent indiquer que les infra-écosystèmes de la planète ne sont pas encore tout à fait stables. Plusieurs régions de l'hémisphère nord, auparavant couvertes de forêts, sont devenues des plaines, et l'une est presque devenue un désert.
nbwtih	“Et alors ? Les écosystèmes ne seront stables qu'après l'introduction complète de la dernière espèce. Rien de surprenant.”
d4id3r	“Il faudrait envoyer quelqu'un sur place pour en savoir plus.”
j6jvz6	“C'est normal ça ? Je ferais bien de demander à AUDE de faire tourner quelques simulations sur le sujet.”
tzb9iv	Apparemment la seule personne disponible est un stagiaire. Expliquer la situation et les objectifs de la mission prend un certain temps, mais il semble finalement comprendre.
m0s73v	Vous recevez des nouvelles du stagiaire envoyé investiguer à propos des forêts qui se transforment en plaines et déserts dans l'hémisphère nord.
spaqxl	Il a trouvé le moyen de se blesser là-bas avant d'avoir pu découvrir quoi que ce soit. Les soins vont coûter environ 50€€€.
kwalpc	Il annonce fièrement confirmer qu'en effet, il n'y a pas la trace d'une forêt ici. Interrogé sur les raisons de cette absence de forêt, il semble ne pas s'être posé la question.
osxvwy	“J'aurais du répeter mes instructions une 11e fois...”
1oa6kq	AUDE vous informe que les simulations, bien que basées sur des données en cache plutôt que des relevés réels, prendront un certain temps.
46687e	AUDE vous fait savoir que les simulations concernant les forêts se transformant en plaines et déserts sont terminées.\nD'après ses conclusions, il ne peut s'agir que d'une anomalie temporaire, et les arbres finiront forcément par réapparaître dans un futur proche.
696j9a	“Ce n'est pas la conclusion que j'imaginais, mais si tu le dis, j'ai d'autres chats à fouetter.”
ofzfpy	Pas si longtemps après, alors que vous vous échappez tout juste d'un team building obligatoire, un appel arrive de la part de l'équipe de spatio-botanistes qui s'est occupé de la planète avant votre arrivée.
l14vmq	En faisant l'inventaire de toutes leurs graines et semences, ils ont trouvé tout un stock de proto-légumes qui était destiné à votre planère, mais n'y est jamais arrivé, pour une raison inconnue.
kaxu9q	En faisant l'inventaire de toutes leurs graines et semences, ils ont trouvé tout un stock de fougères géantes qui était destiné à votre planère, mais n'y est jamais arrivé, pour une raison inconnue.
6rhe2a	En faisant l'inventaire de toutes leurs graines et semences, ils ont trouvé tout un stock de fleurs qui était destiné à votre planère, mais n'y est jamais arrivé, pour une raison inconnue.
zhsca2	“Cela pourrait éventuellement provoquer de légers soucis pour certaines forêts.”, d'après eux.\n“De légers soucis ? Y'a 20% de l'hémisphère nord qui est un désert !”\n“Ça va, ça va, ça sert à rien de le prendre comme ça. On va planter ces graines maintenant, et tout rentrera dans l'ordre.”
k5suk3	D'accord.
zc2muf	“Vous allez pas vous en sortir si facilement. Vous avez commis une erreur, ça impacte mon travail, alors vous allez payer des pénalités.”
6dklua	“J'imagine qu'on pourrait trouver des fonds - SI vous promettez de tout oublier à propos de cette affaire.”
3w198p	“Arrêtez de geindre!” vous rabroue un botaniste d'un certain âge. “Si votre délicate espèce n'était pas si fragile, elle n'aurait aucun problème à supporter quelques minuscules déserts ça et là. Alors on va rien payer du tout.”\nApparemment, les graines seront votre seul dédommagement.
dnknxi	“Est-ce que vous pouvez au moins régler ça rapidement ? On est déjà bien assez en retard comme ça.”
nnsqd1	“Je vous laisse gérer, prévénez-moi quand vous aurez fini.”
ewb8op	“J'enverrai quelqu'un de mon équipe pour vous accompagner quand vous réglerez ça.”
qfuoxz	“Pas de souci, on va vous envoyer nos meilleurs exo-jardiniers.”
x4ke7s	“Pas de souci, on sera bientôt là.”
lejs23	Les exo-jardiniers envoyés par les spatio-botanists sont là, apportant les graines qui doivent être plantées pour combattre les déserts de l'hémisphère nord.\nIls accomplissent leur tâche en un temps record, mais les résultats ne sont pas formidables. Si la désertification s'arrète, les plaines ne redeviennent pas pour autant des forêts.
3es7ea	Les spatio-botanistes sont là, apportant les graines qu'ils avaient oublié de planter dans l'hémisphère nord. Ils en apportent également d'autres : “Sinon, on serait en train de mettre en place une mono-culture, et c'est jamais une bonne idée.”
g9056m	Vous envoyez une stagiaire avec eux afin de s'assurer de la qualité de leur travail.
1dpbi0	Les spatio-botanists ont accompli leur tâche, et quittent le système après un court passage sur votre station orbitale.
88yf7f	La stagiaire que vous aviez envoyée avec eux vous indique qu'elles ne les a jamais surpris à se la couler douce.
v8btbz	Les efforts des spatio-botanistes semblent payer : toutes les zones qui étaient devenues des plaines voire des déserts sont de nouveau des forêts.
mzqzsq	De plus, les fleurs nouvellement plantées ont attiré l'oeil d'un jury de concours. Votre planète détient maintenant le titre “Planète fleurie©® 1 pistil”, qui était accompagné d'une récompense de 100€€€.
dx5pdn	Cependant, les fougères géantes nouvellement plantées se sont revélées être la cause de réactions allergiques pour plusieurs espèces animales dans les environs, ce qui déstabilise l'écosystème dans son ensemble.
0xb0ii	Les fougères géantes ont failli causer des problèmes quand certaines espèces animales ont développé des réactions allergiques à leur encontre, mais les botanistes s'en sont chargé avant que la situation ne se soit dégradée.
h9a2gy	De plus, les proto-légumes nouvellement plantés s'avèrent être particulièrement appréciés par les specimens de votre espèce, et cette nouvelle source abondante de nourriture aide la croissance de leur population.
