8t4wl9	Alors que vous vous dirigez vers vos quartiers personnels, une sirène retentit et des lumières d'alarme rouges vous arrêtent. Apparemment votre sieste n'est plus d'actualité...
6cu6ji	De retour au centre de contrôle, vous voyez que l'alarme en cours indique un tremblement de terre.
b7cxqa	Heureusement, l'amplitude du séisme semble relativement limitée, et son épicentre est éloigné des régions peuplées par votre espèce. Les effets sur la biosphère globale seront ténus, bien que probablement longs à disparaître.
c5hwlk	C'est peut-être le bon moment d'installer de meilleurs sismographes ?
wns6e3	“Et se retrouver avec encore plus d'alarmes inutiles ? Non merci, je tiens à faire mes siestes en paix.”
s69qzr	“Mieux vaut prévenir que guérir, je l'ai toujours dit.”
sqwskl	“On a des problèmes plus urgents sur les bras. Les risques sismiques ne sont pas si hauts. Enfin je crois.”
kimyqq	“Et ∑#§øΩ* ! Regardez la taille de ce truc !”
olhlxk	Les effets sur votre espèce et même l'écosystème planétaire au global sont compliqués à estimer.
viwzfw	Les dernières répliques terminées, des rapports commencent à arriver en masse. La plupart mentionnent des groupes d'individus très désorientés mais sains et saufs, ou au contraire des groupes entiers décimés au-delà de tout sauvetage possible.
5mdho6	Cependant, un rapport se distingue:
wwwdmw	Il fait mention d'un groupe d'individus coincés sous une pile de rochers écroulés. Votre intervention pourrait avoir un vrai impact bénéfique sur leur situation.
fukm7f	“J'appelle ça l'évolution. L'espèce au global se portera mieux sans des spécimens assez stupides pour se retrouver sous des éboulis.”
hlux9j	“On y va maintenant ! Chaque minute compte !”
1pyowv	“Pendant une période si compliquée, on ne peut pas se permettre de se concentrer uniquement sur un groupe unique. Imaginez si quelque chose arrivait à un niveau planètaire alors qu'on est coincé là-bas ?”
ie3xj7	Vous arrivez sur le site de l'éboulis, mais il semble qu'il soit trop tard. Vous peinez à sauver un nombre dérisoire de spécimens.
p23m00	Comme si devoir gérer les conséquences d'un tremblement de terre n'étaient pas assez compliqué, des charognards sont observés près du site où vous aviez échoué à sauver des spécimens ensevelis sous des rochers. Ces invités indésirables ont des effets plus que néfastes sur la chaîne alimentaire locale, et rien ne dit quand son équilibre sera rétabli.
yes8c0	Arrivés sur le site de l'éboulis, sauver les spécimens s'avère très difficile. Cependant, vous réussissez à les sauver jusqu'au dernier !
oo56hn	“Je garderai à jamais un souvenir ému d'aujourd'hui ! Nous avons accompli quelque chose d'incroyable !”
f9isxa	“Ce sauvetage est un véritable exploit. Il faut que le monde soit mis au courant de cette histoire, contactez des journalistes pour leur vendre !”
