kv9yhr	An alert is rising: the local flora is rapidly decreasing.
ppdyq4	“These plants will be grow back, no need to worry“
wn7mjg	“This is strange, I should look into it“
na8nzq	The flora decrease issue is still present.
ho86yx	“I guess I'm forced to look into it..“
jb89ax	After a brief investigation, you find out the flora decrease is linked to a diminution of local bees.
yznv1w	“Bees are foundation of all biomes! Catastrophe..“
fw2cx7	What should you do about the diminution of bees negatively impacting flora ?
mjg7ys	Quietly send a small missile on a subset of your subjects to solve a likely overpopulation issue [100 €€€]
ak3ukc	“There must be another way. I could take my time to think about this“
7l172e	In the dark of the night, a divine hand takes back what is hers, leaving only destruction and crushed hopes behind her..
bxhbv8	“Now I am become death..“
tl67k9	A subset of the subjects were terminated.
bwn3lb	After intense reflexions, staring at the mirror about this flora/bees issue, no easy solution seems to appear..
0z0z87	Do nothing and hope for the best. “Go Go bees! hum..“
0spd2q	Quietly send a small missile on a subset of your subjects to solve a likely overpopulation issue [100 €€€]
hslvte	The flora/bees decrease issue is still present
06yhum	Bingo! You found out your species likes to hang out near a huge plain filled with colorful flowers. - The issue is more about the flowers being crushed and eaten than overpopulation, causing bees to go elsewhere.
pe2n00	“Still, just let the bees be, there were here before. May the lesson be learned“ Missile the species out of the plain [100 €€€]
b3cfd2	“It would take time, but I could plant more flowers with drones“
kbdoxl	You solved the flora/bees decrease by planting more flowers to compensate your species impact.
