3vq8s7	Lors d'un mardi matin inhabituellement calme, vous dépilez vos courriels de l'espace et tombez sur un provenant d'une obscure institution qui vous est totalement inconnue - la TRACAS (Team de Recherche pour l'Acclimatation des Créatures dans des Ailleurs Spécifiques).
3irnqn	Ils se plaignent à propos d'un formulaire que vous auriez supposément dû remplir avant de pouvoir déployer votre espèce sur la planète. Ce formulaire a pour but de vous rendre juridiquement responsable si jamais des membres de votre espèce sont retrouvés sur d'autres "corps célestes et assimilés". Le courriel contient des menaces de poursuites devant tribunal en cas de non-paiement d'une amende et du remplissage immédiat du formulaire.
p4c1co	“Jamais vu une arnaque aussi évidente !” [ignorer le mail]
t9vme0	“C'est forcément du bluff leur histoire d'amende. Je vais juste remplir leur formulaire.”
stpcoi	“J'ai autre chose à faire que me battre avec la bureaucratie. Je vais remplir le formulaire, payer l'amende et on en parlera plus.”
hdyq1g	Ça commence à faire un certain temps que vous n'avez pas eu de nouvelles du TRACAS, cette institution qui vous réclamait de payer une amende et de remplir un formulaire. Soit c'était une arnaque, soit ils sont si désorganisés qu'ils vous ont oublié·e.
be3f0c	Vous recevez un courriel de l'espace de relance du TRACAS, cette institution à la légitimité douteuse qui voulait vous faire payer une amende and remplir un formulaire.
1laph0	“Ces escrocs n'abandonnent pas facilement, on peut au moins leur reconnaître ça.” [continuer à ignorer leurs exigences]
6jsb2u	“Peut-être que c'est pas une arnaque au final… Mieux vaut accepter leurs demandes.”
ma8h5k	Prétendre que vous aviez déjà rempli le formulaire juste après le premier avertissement.
vrtsnh	Vous payez l'amende et remplissez le formulaire.
i1ukfv	Vous recevez un appel de votre responsable hiérarchique. Il semble très enervé, et c'est peu de le dire. “Comment ça le formulaire du TRACAS n'avait pas été rempli ? Le dernier des demeurés sait que c'est la première des choses à faire quand on introduit une nouvelle espèce sur une exo-planète ! Est-ce que je suis sensé aussi m'assurer que vous avez pas ajouté une espèce carnivore dans un monde végétal ? L'amende a intérêt a être payée fissa, sinon…”
wbaedd	Vous recevez un appel de votre responsable hiérarchique. Il semble très enervé, et c'est peu de le dire. “On m'explique pourquoi le TRACAS me dit qu'on leur ment à propos d'un formulaire rempli quand toutes leurs archives montrent que c'est pas le cas ? Même un stagiaire tout juste arrivé sait que le formulaire TRACAS c'est la première des choses à faire quand on introduit une nouvelle espèce sur une exo-planète ! Est-ce que je suis sensé aussi m'assurer que vous avez pas ajouté une espèce carnivore dans un monde végétal ? L'amende a intérêt a être payée et le formulaire à être rempli fissa, sinon…”
0nduhg	Rapidement, vous êtes rappelé·e par un employé visiblement très détendu du TRACAS “Yo, je crois le formulaire on l'a perdu, renvoie STP”
gpx3i4	[Remplir le formulaire : apparemment ils ont oublié l'amende]
r9bpix	[Payer l'amende et remplir le formulaire]
71xs1e	Le TRACAS semble vous avoir oublié depuis que vous avez rempli leur formulaire, même si vous n'avez pas payé leur amende.
0ce8s9	Le TRACAS semble vous avoir complêtement oublié, bien que vous n'ayez ni payé l'amende ni rempli leur formulaire.
7lmu4o	Vous recevez des nouvelles du TRACAS. Ils font acte de la réception du formulaire dûment rempli mais indiquent qu'ils attendent toujours le paiement de l'amende. “*Soupir* Je les ai sous-estimés…”
e4dutw	Au final, vous payez l'amende.
